names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
DCAF6,-0.15636688,-5.172641,0.8757438428947305,0.9103580982255703,R_Pre_vs_NR_Pre,0.04078774010565006
SLF1,-0.15697584,2.887188,0.8752638914440222,0.909961961558066,R_Pre_vs_NR_Pre,0.04097676177858924
ZNF704,-0.1573818,,0.8749439492868218,0.9097347879844082,R_Pre_vs_NR_Pre,0.04108519768145181
CCDC102B,-0.15917484,,0.873531116640923,0.9085817679638686,R_Pre_vs_NR_Pre,0.04163598219465834
DGKQ,-0.15924251,-3.4191754,0.8734778100677933,0.9085790059145303,R_Pre_vs_NR_Pre,0.041637302433135404
CDA,-0.16046043,17.062778,0.8725183901970351,0.9077140228301269,R_Pre_vs_NR_Pre,0.042050955299661484
ENPP7,-0.16059576,-2.0251472,0.872411799536565,0.9077140228301269,R_Pre_vs_NR_Pre,0.042050955299661484
PTH1R,-0.16128929,-0.5646277,0.8718655588001287,0.907270239804891,R_Pre_vs_NR_Pre,0.04226333457680559
TP53RK,-0.16137387,,0.8717989482509324,0.9072535553591242,R_Pre_vs_NR_Pre,0.042271321204205715
B3GNT5,-0.16201666,0.10377395,0.8712927378209155,0.9069372210892812,R_Pre_vs_NR_Pre,0.04242277410651952
RHEBL1,-0.16257487,0.0047723465,0.8708531767864631,0.9065322821028073,R_Pre_vs_NR_Pre,0.04261672583269569
ACCS,-0.16265945,,0.8707865801061826,0.9065322821028073,R_Pre_vs_NR_Pre,0.04261672583269569
SH3D19,-0.16276094,-0.8844729,0.8707066652992526,0.9065322821028073,R_Pre_vs_NR_Pre,0.04261672583269569
CHURC1,-0.16309924,,0.8704402921481108,0.9063654705144721,R_Pre_vs_NR_Pre,0.04269664799314998
SCAI,-0.16313308,,0.8704136556408728,0.9063654705144721,R_Pre_vs_NR_Pre,0.04269664799314998
TTC7B,-0.16313308,,0.8704136556408728,0.9063654705144721,R_Pre_vs_NR_Pre,0.04269664799314998
ARFRP1,-0.16374204,,0.8699342236772444,0.906048894171887,R_Pre_vs_NR_Pre,0.04284836535178817
CHMP4C,-0.1652306,,0.8687624804715469,0.9049335912373618,R_Pre_vs_NR_Pre,0.04338329042726978
BRD9,-0.16550125,-2.7822914,0.8685494671379108,0.9047642474750199,R_Pre_vs_NR_Pre,0.043464569257548775
AMD1,-0.16627936,,0.8679371070040187,0.9043889529734586,R_Pre_vs_NR_Pre,0.04364475116078864
KDM5D,-0.16648234,20.149353,0.8677773738968965,0.9043275740987933,R_Pre_vs_NR_Pre,0.043674226765377654
UBE2Q1,-0.16661768,,0.8676708881572329,0.904269137332352,R_Pre_vs_NR_Pre,0.043702291358279015
RABGAP1,-0.16682066,4.3283715,0.8675111640501041,0.9041552065964074,R_Pre_vs_NR_Pre,0.043757012464164954
TNFRSF13C,-0.16736196,,0.8670852595568251,0.9038163394694828,R_Pre_vs_NR_Pre,0.04391981162476602
AP1M1,-0.16739579,1.997692,0.8670586418057777,0.9038163394694828,R_Pre_vs_NR_Pre,0.04391981162476602
UTP25,-0.16759877,,0.8668989384660768,0.9037271551231758,R_Pre_vs_NR_Pre,0.043962667876491716
PBRM1,-0.16834305,-0.5669952,0.8663134060852129,0.9031692362173979,R_Pre_vs_NR_Pre,0.04423086378522274
FLT1,-0.16854604,,0.8661537281544422,0.9030552499642188,R_Pre_vs_NR_Pre,0.044285678235157326
RFLNB,-0.16864753,-1.9633521,0.8660738912372395,0.9030244978501281,R_Pre_vs_NR_Pre,0.04430046769666801
SLC15A4,-0.16962864,,0.8653022049416483,0.9023772427325905,R_Pre_vs_NR_Pre,0.04461186579899032
PARP4,-0.17118485,,0.8640784145029828,0.9012058026254147,R_Pre_vs_NR_Pre,0.04517602063208918
CCNA2,-0.17128634,,0.8639986133748654,0.9011749695731094,R_Pre_vs_NR_Pre,0.04519087945069654
THADA,-0.17230128,-0.19815484,0.8632006785257195,0.9004474163406813,R_Pre_vs_NR_Pre,0.04554164371048947
C11orf54,-0.1726396,2.215224,0.862934731208988,0.9002223441946395,R_Pre_vs_NR_Pre,0.04565021174856886
RIDA,-0.17301174,-2.2595587,0.862642207101625,0.8999695190757793,R_Pre_vs_NR_Pre,0.04577219936218909
EARS2,-0.17301174,,0.862642207101625,0.8999695190757793,R_Pre_vs_NR_Pre,0.04577219936218909
LTBP1,-0.17318088,,0.8625092478218623,0.8999354867047794,R_Pre_vs_NR_Pre,0.04578862252995142
ESPL1,-0.1740605,-1.0311856,0.8618179224362676,0.8994234287096677,R_Pre_vs_NR_Pre,0.04603580386302464
PREX1,-0.17409432,,0.8617913351086497,0.8994234287096677,R_Pre_vs_NR_Pre,0.04603580386302464
EZH1,-0.17412816,0.17735974,0.8617647479376248,0.8994234287096677,R_Pre_vs_NR_Pre,0.04603580386302464
PSMD12,-0.17416199,,0.8617381609232226,0.8994234287096677,R_Pre_vs_NR_Pre,0.04603580386302464
NAPB,-0.17463562,,0.8613659591834979,0.899318001037983,R_Pre_vs_NR_Pre,0.04608671352168687
FANCC,-0.17480478,-7.4273005,0.8612330374471339,0.8992839062650146,R_Pre_vs_NR_Pre,0.046103178723579004
