,I,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh,sample
RAB42,0.04279704446252385,0.034429724591846345,0.0005820351815126267,0.1051817971850908,0.06930693069306931,0.0010384789375439075,0.11872318824774603,0.24460883066300185,0.13861386138613863,YP12C
TAF13,0.04162030124068241,0.03831655657272215,0.0005820351815126267,0.013958303179202103,0.039603960396039604,0.0003797617739438201,0.12772185524240717,0.046527677264007014,0.0942951438000943,YP12C
PLEKHG5,0.04026735086110864,0.043219861586008546,0.0005820351815126267,0.024210352059184204,0.0594059405940594,0.00040767875644569967,0.13941890834196305,0.07809790986833615,0.12639561828523277,YP12C
PLA2G2A,0.7431832899218453,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00045307885817451787,0.0,0.0,0.014144271570014145,YP15A
CTRC,0.4033732562354342,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.0002998893435447271,0.0,0.0,0.014144271570014145,YP15A
HSPB7,0.38599529583147074,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00038108719939690047,0.0,0.0,0.014144271570014145,YP15A
NEXN,0.3692678045496922,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00035412098912138536,0.0,0.0,0.014144271570014145,YP15A
ENO1,0.3657681551993564,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.0003690990761314002,0.0,0.0,0.014144271570014145,YP15A
CELA3A,0.3501187348655551,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00031026789725046466,0.0,0.0,0.014144271570014145,YP15A
CELA3B,0.34032820776293804,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00033490022708418914,0.0,0.0,0.014144271570014145,YP15A
FBXO2,0.2723832553908784,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00025839915922253216,0.0,0.0,0.014144271570014145,YP15A
CELA2A,0.2518093171088816,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00022483883761201788,0.0,0.0,0.014144271570014145,YP15A
SDC3,0.2422506936214732,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.0002732674081127165,0.0,0.0,0.014144271570014145,YP15A
CLIC4,0.2027092016960506,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00017238731595522366,0.0,0.0,0.014144271570014145,YP15A
EFNA1,0.19059110470309407,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00019047810385275043,0.0,0.0,0.014144271570014145,YP15A
FABP3,0.1905070090097043,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00026633497876312487,0.0,0.0,0.014144271570014145,YP15A
PLEKHO1,0.18365666341554698,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.0002924862453840873,0.0,0.0,0.014144271570014145,YP15A
CELA2B,0.17751372169179477,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00019500525882710037,0.0,0.0,0.014144271570014145,YP15A
MUC1,0.17499176923756185,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00020187243176530127,0.0,0.0,0.014144271570014145,YP15A
CGN,0.16752047650869764,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00019302130282794876,0.0,0.0,0.014144271570014145,YP15A
WLS,0.16598855769031187,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00022359123903286873,0.0,0.0,0.014144271570014145,YP15A
KDM1A,0.16011502072711956,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00016690548123977466,0.0,0.0,0.014144271570014145,YP15A
DDOST,0.1596008670955112,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00022341767640125955,0.0,0.0,0.014144271570014145,YP15A
COL16A1,0.15592420444633717,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.0002670366503794157,0.0,0.0,0.014144271570014145,YP15A
NFIA,0.14790008269751126,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00026595564285401574,0.0,0.0,0.014144271570014145,YP15A
HSPG2,0.14708994630386998,0.0,0.00030105956064378075,0.0,0.009900990099009901,0.00019834696178067394,0.0,0.0,0.014144271570014145,YP15A
MAP7D1,0.14315422482533133,1.1102230246251565e-16,0.00030105956064378075,0.0,0.009900990099009901,0.00023935906729356877,4.440892098500626e-16,0.0,0.014144271570014145,YP15A
PGM1,0.14194566694976482,1.1102230246251565e-16,0.00030105956064378075,0.0,0.009900990099009901,0.0002058683385109536,4.440892098500626e-16,0.0,0.014144271570014145,YP15A
PLOD1,0.13762591930269408,7.771561172376096e-16,0.00030105956064378075,0.0,0.009900990099009901,0.00023035150448966242,2.9890619893754215e-15,0.0,0.014144271570014145,YP15A
AGMAT,0.13279238095112017,7.216449660063518e-15,0.00030105956064378075,0.0,0.009900990099009901,0.0001739562610042794,2.6727591333568583e-14,0.0,0.014144271570014145,YP15A
F3,0.12676815772217218,1.021405182655144e-13,0.00030105956064378075,0.0,0.009900990099009901,0.00018400314659818194,3.6478756523397996e-13,0.0,0.014144271570014145,YP15A
VAV3,0.12505143784828227,2.1316282072803006e-13,0.00030105956064378075,0.0,0.009900990099009901,0.0001950587263102418,7.350442094070002e-13,0.0,0.014144271570014145,YP15A
FBLIM1,0.12242700796904331,6.434852650727407e-13,0.00030105956064378075,0.0,0.009900990099009901,0.0002065984183001609,2.1449508835758024e-12,0.0,0.014144271570014145,YP15A
SYNC,0.11143370144472019,5.162104077527374e-11,0.00030105956064378075,2.220446049250313e-16,0.009900990099009901,0.00018768244139999554,1.6651948637185078e-10,7.162729191130043e-16,0.014144271570014145,YP15A
PINK1,0.10963938879762598,1.0172507280969967e-10,0.00030105956064378075,3.667066650336892e-13,0.009900990099009901,0.00023134541514963636,3.1789085253031146e-10,1.0477333286676834e-12,0.014144271570014145,YP15A
TSPAN2,0.10761323117091698,2.1608914657633704e-10,0.00030105956064378075,8.459899447643693e-13,0.009900990099009901,0.00024238796538057086,6.548155956858698e-10,2.286459310173971e-12,0.014144271570014145,YP15A
TSPAN1,0.10367746895719059,8.988321198444282e-10,0.00030105956064378075,1.9984014443252818e-15,0.009900990099009901,0.00017240346057308112,2.6436238818953768e-09,6.2450045135165055e-15,0.014144271570014145,YP15A
CLCA1,0.10300740570983768,1.1399801103095797e-09,0.00030105956064378075,1.0658141036401503e-14,0.009900990099009901,0.00017910335978530608,3.257086029455942e-09,3.229739708000455e-14,0.014144271570014145,YP15A
MFN2,0.09836352407219212,5.687172177637478e-09,0.00030105956064378075,5.0713877541852526e-12,0.009900990099009901,0.0002000981825363188,1.579770049343744e-08,1.2678469385463131e-11,0.014144271570014145,YP15A
ARHGEF16,0.09601284736585021,1.24928624112286e-08,0.00030105956064378075,6.139533326177116e-14,0.009900990099009901,0.00016860678518016738,3.376449300332054e-08,1.8057450959344456e-13,0.014144271570014145,YP15A
PADI1,0.09484772695381392,1.8330930329213402e-08,0.00030105956064378075,1.6935342017632138e-12,0.009900990099009901,0.00018523229279545882,4.823929034003527e-08,4.456668952008457e-12,0.014144271570014145,YP15A
CASQ2,0.09472709263413993,1.906852709065987e-08,0.00030105956064378075,2.5786039969943886e-12,0.009900990099009901,0.00018839648645165366,4.889365920682018e-08,6.611805120498432e-12,0.014144271570014145,YP15A
ADGRL2,0.09169681922394157,5.058117880096802e-08,0.00030105956064378075,7.311151684064043e-12,0.009900990099009901,0.0001829063998542965,1.2645294700242005e-07,1.7407504009676296e-11,0.014144271570014145,YP15A
RCC1,0.088410824584416,1.4089161537444994e-07,0.00030105956064378075,6.863398738232718e-13,0.009900990099009901,0.00015483361682341269,3.369795572213027e-07,1.9064996495090883e-12,0.014144271570014145,YP15A
TACSTD2,0.08839603918894301,1.415314140329471e-07,0.00030105956064378075,5.406008973807275e-12,0.009900990099009901,0.00016816747603024644,3.369795572213027e-07,1.3185387740993354e-11,0.014144271570014145,YP15A
VCAM1,0.08567353160185798,3.220850047780388e-07,0.00030105956064378075,4.630851779818812e-08,0.009900990099009901,0.0002362336422929297,7.490348948326484e-07,9.647607874622525e-08,0.014144271570014145,YP15A
HEYL,0.08466494029470514,4.3415415074132824e-07,0.00030105956064378075,1.5645335360581214e-08,0.009900990099009901,0.00022886607243420714,9.86713978957564e-07,3.401159860995916e-08,0.014144271570014145,YP15A
CCN1,0.08341834698884557,6.251115840516519e-07,0.00030105956064378075,1.5343695314307126e-08,0.009900990099009901,0.0002128583597930761,1.3891368534481153e-06,3.401159860995916e-08,0.014144271570014145,YP15A
ERRFI1,0.08280693335593808,7.461290244537011e-07,0.00030105956064378075,1.2099166668555483e-08,0.009900990099009901,0.00022899814760903573,1.622019618377611e-06,2.7498106064898827e-08,0.014144271570014145,YP15A
PTPRU,0.07872568222688281,2.3578539803947862e-06,0.00030105956064378075,1.1507963471046878e-09,0.009900990099009901,0.000174723179367259,5.0167105965846514e-06,2.6762705746620645e-09,0.014144271570014145,YP15A
IFI44L,0.0771839874284331,3.5913652961516718e-06,0.00030105956064378075,1.892894109234433e-07,0.009900990099009901,0.00021962502039912392,7.482011033649316e-06,3.785788218468866e-07,0.014144271570014145,YP15A
