names,scores,logfoldchanges,pvals,pvals_adj,comparison,-log10_padj
AMPD2,52.07694,,0.0,0.0,R_Post_vs_NR_Post,100.0
RAI14,52.061348,-1.0666621,0.0,0.0,R_Post_vs_NR_Post,100.0
RNF19B,52.06098,,0.0,0.0,R_Post_vs_NR_Post,100.0
SH2D3A,52.0238,,0.0,0.0,R_Post_vs_NR_Post,100.0
CIITA,51.99655,,0.0,0.0,R_Post_vs_NR_Post,100.0
TXNDC15,51.9908,-1.2096487,0.0,0.0,R_Post_vs_NR_Post,100.0
CRACR2B,51.988983,,0.0,0.0,R_Post_vs_NR_Post,100.0
CLASRP,51.98184,0.5600314,0.0,0.0,R_Post_vs_NR_Post,100.0
LEPROT,51.972626,,0.0,0.0,R_Post_vs_NR_Post,100.0
DNAJC10,51.96533,,0.0,0.0,R_Post_vs_NR_Post,100.0
THBS3,51.963856,0.2823204,0.0,0.0,R_Post_vs_NR_Post,100.0
AGO1,51.932613,-1.3406155,0.0,0.0,R_Post_vs_NR_Post,100.0
WDR13,51.924244,,0.0,0.0,R_Post_vs_NR_Post,100.0
TMEM127,51.875576,,0.0,0.0,R_Post_vs_NR_Post,100.0
NFIX,51.738052,0.49095765,0.0,0.0,R_Post_vs_NR_Post,100.0
NSMF,51.727276,-2.2636108,0.0,0.0,R_Post_vs_NR_Post,100.0
EDIL3,51.6535,0.54285127,0.0,0.0,R_Post_vs_NR_Post,100.0
AFAP1,51.612873,-1.332932,0.0,0.0,R_Post_vs_NR_Post,100.0
CREBRF,51.561073,,0.0,0.0,R_Post_vs_NR_Post,100.0
B3GNT3,51.5317,,0.0,0.0,R_Post_vs_NR_Post,100.0
ALOX5AP,51.518898,20.787907,0.0,0.0,R_Post_vs_NR_Post,100.0
PRSS22,51.513035,-1.4533664,0.0,0.0,R_Post_vs_NR_Post,100.0
PPM1B,51.468662,-0.06793441,0.0,0.0,R_Post_vs_NR_Post,100.0
MAP1B,51.442066,0.3990103,0.0,0.0,R_Post_vs_NR_Post,100.0
RGS1,51.381645,,0.0,0.0,R_Post_vs_NR_Post,100.0
COL8A1,51.341766,0.5990492,0.0,0.0,R_Post_vs_NR_Post,100.0
SIGIRR,51.31448,-1.866043,0.0,0.0,R_Post_vs_NR_Post,100.0
FBXO32,51.282818,-4.4539347,0.0,0.0,R_Post_vs_NR_Post,100.0
LMF2,51.27055,0.8009936,0.0,0.0,R_Post_vs_NR_Post,100.0
ICA1,51.22822,,0.0,0.0,R_Post_vs_NR_Post,100.0
SDC2,51.156815,-0.70025086,0.0,0.0,R_Post_vs_NR_Post,100.0
ZNF609,51.135147,1.7064909,0.0,0.0,R_Post_vs_NR_Post,100.0
NID2,51.111664,,0.0,0.0,R_Post_vs_NR_Post,100.0
PADI1,51.09221,,0.0,0.0,R_Post_vs_NR_Post,100.0
ANO1,51.08963,,0.0,0.0,R_Post_vs_NR_Post,100.0
DAG1,51.02212,2.3874133,0.0,0.0,R_Post_vs_NR_Post,100.0
ERBB2,50.99684,-0.48036894,0.0,0.0,R_Post_vs_NR_Post,100.0
PTGIS,50.941025,,0.0,0.0,R_Post_vs_NR_Post,100.0
SF3B2,50.916317,-2.2473288,0.0,0.0,R_Post_vs_NR_Post,100.0
LRIG1,50.76563,,0.0,0.0,R_Post_vs_NR_Post,100.0
ZDHHC3,50.74513,,0.0,0.0,R_Post_vs_NR_Post,100.0
SLC6A6,50.722904,2.6296787,0.0,0.0,R_Post_vs_NR_Post,100.0
