protein,gene,spearman_r,spearman_p,pearson_r,pearson_p,n_cells,sample_id
CD3,CD3D,-0.05558002439828791,1.3762839365673202e-39,-0.03190005474659283,4.2630636435406775e-14,56030,D02
CD3,CD3E,-0.04084075309138183,4.0007963113526483e-22,-0.022959792260557957,5.4695467799013334e-08,56030,D02
CD4,CD4,0.03830018890704396,1.196346489086172e-19,0.012747137221545406,0.002548513651864422,56035,D02
CD8,CD8A,0.04865111242303846,1.00892531010886e-30,0.021752196606739764,2.61025960120554e-07,56035,D02
CD20,MS4A1,0.031039299170047552,1.9948534959453237e-13,0.006954286931392733,0.09972628792170118,56035,D02
CD68,CD68,0.08837950507650778,1.4736269853046065e-97,0.061828842575557534,1.3543921565226957e-48,56035,D02
CD31,PECAM1,0.09730478023009469,6.112093238257297e-118,0.12840433413411526,1.3619284813514717e-204,56035,D02
CD11c,ITGAX,0.03875468848082237,4.426869015546459e-20,0.005002482565194298,0.23635198406122807,56035,D02
HLA-DR,HLA-DRA,0.15968413326459002,0.0,0.1593994861308287,1.50535768e-315,56035,D02
aSMA,ACTA2,0.16571951669629675,0.0,0.24191915664640415,0.0,56035,D02
KI67,MKI67,0.004311226078032127,0.3074804663026658,0.0004587721133321473,0.9135222978168013,56035,D02
PD1,PDCD1,0.02716847131680946,1.2569866526055744e-10,0.013648270262006488,0.0012341933733093595,56035,D02
PDL1,CD274,0.03051007004247542,5.056326949119978e-13,0.00438011915212481,0.29981458748713075,56035,D02
FOXP3,FOXP3,0.015867748761920434,0.00017242975358280966,0.0012566068877571395,0.7661200299604808,56035,D02
CD3,CD3D,-0.009634163567668224,0.08586255939503537,-0.006051879958067956,0.28060929302263493,31787,E02
CD3,CD3E,-0.01660119798592081,0.0030769234991871843,-0.010328836278764337,0.065544733762221,31788,E02
CD4,CD4,0.037587041748377854,2.030946452210346e-11,0.017791247633755027,0.0015125680968137863,31790,E02
CD8,CD8A,0.030488402221716948,5.416808333710776e-08,0.005824872257902337,0.2990242332411143,31790,E02
CD20,MS4A1,0.04906269738236462,2.083383961230016e-18,0.03981803061064787,1.229707820367645e-12,31790,E02
CD68,CD68,0.035871405781404894,1.5784901480517276e-10,0.017237841060601004,0.0021151297507895094,31790,E02
CD31,PECAM1,0.05260392373381573,6.275101146703999e-21,0.08457710997896847,1.470268119626226e-51,31790,E02
CD11c,ITGAX,0.024222752638188304,1.5651055506636193e-05,0.01149030508061995,0.040493437259087744,31790,E02
HLA-DR,HLA-DRA,0.1943260965382971,4.4617867143174597e-268,0.1614744941449569,1.1849848772121514e-184,31790,E02
aSMA,ACTA2,0.09875105835265893,1.0261273661341617e-69,0.17833073439426236,2.0650149379416148e-225,31790,E02
KI67,MKI67,0.008958333858274927,0.11021716439127899,0.012897963556382164,0.021466359861257035,31790,E02
PD1,PDCD1,0.012767434748913726,0.022821779978533883,-0.00017756241563712417,0.9747450357100282,31790,E02
PDL1,CD274,0.004325664297882964,0.44057154603539483,-0.002693987677387832,0.6310046590912483,31790,E02
FOXP3,FOXP3,0.008911286838382756,0.11209894316252071,-0.001757636733258137,0.7539994504902341,31790,E02
CD3,CD3D,-0.00466858685915909,0.3903584071065451,-0.006169034802365677,0.25635949599263097,33854,F02
CD3,CD3E,-0.013389749370120285,0.01375262778509946,-0.0144189504517036,0.007976841685511462,33854,F02
CD4,CD4,0.06641819798560017,2.0413719559789024e-34,0.04893421220882076,2.0776846487269422e-19,33857,F02
CD8,CD8A,0.038409238057346404,1.5521103405974706e-12,0.026810524572685856,8.059791558368285e-07,33857,F02
CD20,MS4A1,0.03176169799219875,5.050560796515993e-09,0.04720876414228741,3.590552809660326e-18,33857,F02
CD68,CD68,0.08227287809396386,6.161241148809424e-52,0.050039968724664936,3.1736623444061174e-20,33857,F02
CD31,PECAM1,0.07040843790320388,1.7876703029772974e-38,0.07907967423977649,4.1616642498710043e-48,33857,F02
CD11c,ITGAX,0.04411774976762318,4.606837037783602e-16,0.028053114664771343,2.434459752257711e-07,33857,F02
HLA-DR,HLA-DRA,0.2930532611564106,0.0,0.27009874340929446,0.0,33857,F02
aSMA,ACTA2,0.08395023792726429,5.2119078524395533e-54,0.11575728054802144,2.5013478424410462e-101,33857,F02
KI67,MKI67,-0.004565280680654295,0.4009098367979961,-0.0023525544147274917,0.6651157385054759,33857,F02
PD1,PDCD1,-0.011175144725082438,0.039758879910924146,0.002017459618697585,0.7104850547355576,33857,F02
PDL1,CD274,-0.006449903548477986,0.23531902387692008,0.0025376028988560355,0.6405647415894038,33857,F02
FOXP3,FOXP3,-0.003247799234442561,0.5501179455405814,-0.0031574791350454175,0.5612642188706051,33857,F02
CD3,CD3D,0.008206001504568865,0.020577312856270104,0.00993291671039122,0.005063101072080122,79631,G02
CD3,CD3E,0.024991634715099166,1.7468931746813895e-12,0.020687350089249865,5.2751151336487035e-09,79630,G02
CD4,CD4,0.14049683288395767,0.0,0.12233902192198536,4.005077647876376e-263,79634,G02
CD8,CD8A,0.04802744182105249,6.846557746366779e-42,0.06045359033896514,2.2763586481187325e-65,79634,G02
CD20,MS4A1,0.007436073708264267,0.03586817900208256,0.003082888009673707,0.3843201357296343,79634,G02
CD68,CD68,0.2493291708188323,0.0,0.2738675577285325,0.0,79634,G02
CD31,PECAM1,0.1913049851264883,0.0,0.31111119577177204,0.0,79634,G02
CD11c,ITGAX,0.0864269149045098,7.33941406888395e-132,0.08179823704264032,2.8182693796774806e-118,79634,G02
HLA-DR,HLA-DRA,0.37463730484753893,0.0,0.16733569544056132,0.0,79634,G02
aSMA,ACTA2,0.17163286067503794,0.0,0.13943299813617036,0.0,79634,G02
KI67,MKI67,0.006246586589220472,0.07794353626521104,0.0020770052545608436,0.5578003445958473,79634,G02
PD1,PDCD1,0.013256879371258244,0.0001831945015923437,0.0063862837576587885,0.07151909914365583,79634,G02
PDL1,CD274,0.02409791492659372,1.0375765058243307e-11,0.0018911434637107593,0.5935745259119944,79634,G02
FOXP3,FOXP3,0.007135392781779819,0.04405512317451113,0.0010671697277373493,0.7633037097378895,79634,G02
CD3,CD3D,-0.007891452371370438,0.01979131762467099,0.017477073300075814,2.454383492166047e-07,87197,H02
CD3,CD3E,-0.009613515932901986,0.0045281642777233845,0.006599970330719545,0.05130645527992801,87197,H02
CD4,CD4,0.11797364155795886,8.557185270217261e-268,0.13073955648688196,0.0,87215,H02
CD8,CD8A,0.04489211313469112,3.737878151574136e-40,0.07535639708938355,5.0784518027542035e-110,87215,H02
CD20,MS4A1,0.0059080900322462234,0.08102345949568344,-0.0011310873736580884,0.7383568118667522,87215,H02
CD68,CD68,0.28516313779433755,0.0,0.28324942250432766,0.0,87215,H02
CD31,PECAM1,0.1962486874429126,0.0,0.33301894726867187,0.0,87215,H02
CD11c,ITGAX,0.04703976024658277,6.390651594067971e-44,0.06134453319068374,1.743131861582031e-73,87215,H02
HLA-DR,HLA-DRA,0.3912804695477503,0.0,0.40534058466420664,0.0,87215,H02
aSMA,ACTA2,0.14120757795538016,0.0,0.15502054915813526,0.0,87215,H02
KI67,MKI67,0.004404714991163661,0.19333074829736308,0.0009145526799399604,0.7870971434757382,87214,H02
PD1,PDCD1,0.02792059893513805,1.623489441135255e-16,0.016866457776868734,6.315313201651938e-07,87215,H02
PDL1,CD274,0.04336544794390438,1.3936999458682813e-37,0.017865241171915677,1.3178828632268953e-07,87215,H02
FOXP3,FOXP3,0.01828147723988734,6.690379741054724e-08,0.010330158115430503,0.0022826359328311672,87215,H02
CD3,CD3D,-0.0551159750262013,5.496546196884396e-98,-0.01962876416824307,7.611334300923818e-14,145070,A03
CD3,CD3E,-0.06985477171346322,2.423422204476195e-156,-0.03588218360513298,1.510718536035092e-42,145070,A03
CD4,CD4,0.0726909244410067,3.6883149201723877e-169,0.06109968531770561,5.190305514854786e-120,145070,A03
CD8,CD8A,0.018867520390219692,6.631547339340841e-13,0.03637335507818501,1.1329153667018947e-43,145069,A03
CD20,MS4A1,-0.016605506987827066,2.530746351820487e-10,0.030882581020263263,5.893094133766762e-32,145070,A03
CD68,CD68,0.16151246990610935,0.0,0.24458391691611167,0.0,145070,A03
CD31,PECAM1,0.17380202323335797,0.0,0.2507719038641533,0.0,145070,A03
CD11c,ITGAX,0.034497611135149535,1.8601628189369225e-39,0.029512856882111693,2.5007521711488849e-29,145070,A03
HLA-DR,HLA-DRA,0.23565732791696378,0.0,0.271693965961512,0.0,145070,A03
aSMA,ACTA2,0.17450115227060922,0.0,0.10851340694316564,0.0,145070,A03
KI67,MKI67,0.0035863658604291613,0.17194848806595459,0.0015370808883454678,0.5582522161811767,145070,A03
PD1,PDCD1,0.013828956136606712,1.383792847868034e-07,0.004364792822704287,0.09642091331044052,145070,A03
PDL1,CD274,0.022384105320683984,1.5062687475833177e-17,0.004198702310955387,0.10977675886278905,145070,A03
FOXP3,FOXP3,0.014373933333716981,4.375427443101738e-08,0.008937464152571241,0.0006637151336876352,145070,A03
CD3,CD3D,-0.024694230061123083,1.4414970664555752e-06,-0.03906365809051068,2.436942063827255e-14,38076,B03
CD3,CD3E,-0.024466213544402093,1.8006012952384308e-06,-0.03845892631107564,6.052067436931057e-14,38075,B03
CD4,CD4,0.05939403645799091,4.008915421625321e-31,0.03842263306726879,6.29327160581153e-14,38095,B03
